#{"t_start": 1760637054.371827, "env_id": "None"}
r,l,t
0.100000024,190,7.535248
3.1,139,10.513558
1.0999998,195,13.816136
1.0999999,95,15.934562
2.1,195,19.269987
0.10000007,195,22.374135
2.1,155,25.201452
-0.8999999,84,27.217735
2.0999997,203,30.633057
0.09999997,115,32.842525
3.0999997,177,35.757455
3.1,190,36.444828
0.100000024,214,149.278162
2.0999997,199,153.082044
-0.9,147,155.91188
1.1000001,136,156.462363
2.1,175,161.131114
2.1,153,164.65688
2.0999997,156,167.405538
1.0999999,172,170.64393
0.10000002,155,173.535224
2.0999997,210,177.068588
-0.9,58,178.851478
2.0999997,155,182.027692
0.10000001,223,185.91403
2.1,157,292.109039
0.099999994,158,294.867174
1.0999998,166,297.562443
3.0999997,168,298.218624
0.10000013,147,300.577618
3.1,244,304.335186
4.100001,168,307.370234
1.0999999,104,309.331295
3.1000001,154,311.890339
2.1,175,315.110031
0.10000007,115,318.541294
2.1,151,321.584843
0.10000007,191,431.061994
2.1,163,433.985483
4.100001,214,437.174786
2.0999997,167,438.520956
2.1,248,442.130594
2.1,172,444.755686
2.0999997,141,447.367324
3.1,228,450.949135
2.0999997,195,454.329622
2.1,145,457.042713
1.0999999,155,459.952659
2.1,213,566.668291
3.1,228,570.345498
2.1,160,573.236133
2.1,116,575.636954
2.0999997,201,578.951137
2.0999997,202,582.320761
6.1000004,280,586.653811
3.0999994,192,589.575597
2.1,134,592.258428
2.1,172,595.097112
4.1,215,598.428644
2.1,164,701.526377
3.0999997,168,704.807133
3.0999997,174,707.802562
2.1,253,711.857752
2.1,175,714.841502
0.10000003,173,717.626691
4.1,199,720.928121
1.0999999,142,723.660084
2.0999997,192,726.814198
-0.90000004,37,728.425881
2.1,200,731.605397
3.1,162,735.196046
1.0999998,181,836.231193
3.1,278,840.687439
-0.90000004,163,843.376589
2.1,151,846.113696
3.1,215,849.431153
1.1,168,852.330699
0.10000013,139,854.984821
2.0999997,150,857.624156
3.0999997,162,860.61452
2.1,166,863.369748
4.099999,212,866.829622
2.1,79,868.706068
3.0999997,175,971.9344
1.0999999,42,973.437742
2.1,141,975.990065
3.0999992,203,979.319327
0.10000007,154,982.105709
3.1000004,360,987.215546
4.1000004,156,989.927247
1.0999998,99,992.333232
2.1,151,995.035855
3.1,153,998.014546
0.10000006,169,1000.912739
6.1000004,139,1003.59161
1.0999998,243,1111.124098
3.1,224,1113.801658
3.0999997,225,1117.489283
2.0999997,151,1120.337631
